listing_id,id,date,reviewer_id,reviewer_name,comments
9709741,109528347,22/10/2016,16329759,Gerrit,"Very nice and clean room, we had everything we needed for our short stay in London and Dolors was very friendly and helped us if there were any questions. Thank you!!"
25305896,495585915,26/07/2019,170196997,Grace,"Great place to stay for a few nights in London.  The flat was very clean and was conveniently located, a few minutes walk to the tube station.  Host was very helpful, quick communication + kindly provided us with a fan.  Enjoyed our stay and would recommend."
26709683,306268165,12/08/2018,15285494,Xiao Zuo,The host is very kind and the place is amazing!
27425883,355242699,03/12/2018,7738609,André,"Guests can expect a great hospitality. The studio neighborhood's are very quiet, and the studio itself offer a very comfortable stay. If I come back to London and if the studio is available, it will be my first choice. Very clean and cosy. Definitely recommend it! :)"
1091147,462433928,02/06/2019,257649113,Santiago,I have a great stay. I recommend Andonis house.
26989771,347977056,12/11/2018,149133279,Guille,"Really nice host. He is very kind and sympathic. If you need a place where sleep, this is your place. 10/10"
6197340,331380996,02/10/2018,25136268,Reena,"We have mixed feelings about our stay here. First of all, Andrew was lovely and great to communicate with. The apartment is beautiful and just as described - great location, artwork on the walls, very trendy and clean. 

However, we felt like we were renting the space only, and were not really welcome to make ourselves at home. There was only 1/4 of a toilet paper roll left, and no towels that were clearly for us (Andrew lives in the apartment so all his things are in the closets - we used towels that we found in the cupboard with his belongings, but it felt a bit like we were doing something wrong...). There was no hand soap in the main bedroom bathroom, and no bags in the garbage bins in the rooms. 

I think it would’ve been helpful if there was a bit more attention to provide basics (toilet paper, dish soap, leaving out towels, etc) and perhaps leave a few notes about the apartment itself - i.e. there was a great projector system, but it wasn’t straightforward to set up, and we weren’t sure if we were “allowed” use it. Some little things would really help guests feel more comfortable in the space."
4309179,170005061,14/07/2017,64446695,Jonathan,Always a friendly (Email hidden by Airbnb) fortable room and great location.  
4886845,339317863,21/10/2018,26995276,Alex,"Soo is a great host, would love to stay at their place again"
11051591,346128073,07/11/2018,111681795,Monika,"Gospodarz miły i przyjazny, chętnie służący pomocą w kwestii komunikacji. Dobra lokalizacja, przystanek autobusowy i sklep bardzo blisko. Polecam"
8259664,126469577,12/01/2017,23313953,Jae,"Nice, cozy flat in a pretty good location. Walkable to public transport and to other tourist sites."
19928998,592921069,14/01/2020,263178553,주형,The host(Carlos) was really nice and kind man. The room was really cozy and comfortable. I think it was really great to stay here.
3474515,26805190,19/02/2015,3466173,Peer Perez,"Immaculate, apartment and room. Kind and accomodating host. Perfect ambassador for the beatiful concept that is airbnb. I highly recommend a stay with Gary and will definitly check in again."
14273054,102253576,17/09/2016,88238296,Soon,"Friendly host, good location! "
29978294,367602234,05/01/2019,224122779,Maria Giulia,"Dalle foto la casa sembrava molto accogliente ma quando siamo arrivati abbiamo trovato sporcizia, nel frigorifero c era del cibo quasi andato a male e faceva cattivo odore, le stoviglie sporche, i bagni facevano schifo, c'erano peli e capelli, nelle camere da letto le lenzuola erano macchiate, c'erano panni stesi per la casa, non andava la luce in cucina, non Andavano i riscaldamenti e nemmeno l'acqua calda. Abbiamo dovuto comprare molte cose con i nostri soldi.
Abbiamo provato a cambiare casa il 31 ma non ci siamo riusciti però abbiamo ottenuto un rimborso parziale anche se poco. Questo significa prendere in giro le persone. Maria Giulia.
Vi consiglio con il cuore di non andare in questa casa."
17883764,218381665,12/12/2017,88129140,Daniel,"A nice and cozy place, in the heart of London! Amazing location and a great host. Would definitely suggest to anyone looking for a place to stay in London, and would be happy to come back to Peter's place again for my next visit."
12288022,596551306,23/01/2020,318932703,Vivien,"The place is wonderful, nicely furnished and kept very clean by professionals. Basic household stuff are ready, so no worries if forget aomething. It is located very close to Paddington station where it's convenient to get to almost anywhere in London. Plus the quite surrounding and the park within walk distance, I couldn't expect more about the location. Oxana was very hospital and nice. We kept in touch throughout the stay. All in all, very recommended!"
